full_date,member_casual,rides,flagged_anomaly_pct,baseline,std,z_score
2026-03-21,casual,10441,3.725696772339814,2314.9285714285716,1963.4668494230295,4.138634390980066
2025-03-14,casual,8313,3.1516901239023216,1767.5,1587.0428008884853,4.124337413165913
2024-04-13,casual,10347,3.6532328211075673,2751.75,1935.5058985529681,3.9241678393635464
2026-02-15,casual,3653,2.79222556802628,829.5714285714286,764.0369114882766,3.695408597378864
2024-03-03,casual,6437,2.423489203044897,1945.2142857142858,1234.2609531736389,3.6392512480736303
2026-05-16,casual,15872,4.769405241935484,5756.75,2783.6413352537784,3.6338194407067226
2024-04-14,casual,12652,3.6278849193803353,3132.3928571428573,2684.1842451980287,3.546555032460085
2024-03-02,casual,4711,2.3349607302059012,1761.9285714285713,869.7576473244513,3.390681803883372
2025-10-19,member,6905,2.78059377262853,14891.285714285714,2406.203939159236,-3.3190394148703133
2024-09-22,member,5854,2.0498804236419543,15739.57142857143,3002.757848780467,-3.292164045990699
2026-06-21,member,5442,2.4255788313120177,15085.892857142857,2952.35755562288,-3.266505724814966
2026-02-13,casual,2062,2.521823472356935,665.1071428571429,432.01374629086877,3.233445391810169
2026-05-09,casual,11461,4.0834133147194835,5342.535714285715,1909.845707984544,3.2036432367990013
2025-03-09,casual,3685,2.4423337856173677,1192.5357142857142,778.6748231186439,3.200905193944505
2025-03-15,casual,8028,4.546586945690085,2030.607142857143,1962.9554312649052,3.0552873293094627
