station_id,station_name,rides_started,rides_ended,net_outflow,total_activity
15642,California Ave & Fletcher St,3292,3742,-450,7034
CHI00219,St. Louis Ave & Fullerton Ave,3487,3540,-53,7027
13331,May St & Cullerton St,3455,3565,-110,7020
CHI02185,Blackstone Ave & 53rd St,3541,3479,62,7020
SL-013,State St & 19th St,3546,3443,103,6989
TA1307000138,Wood St & Webster Ave,3397,3580,-183,6977
13245,Claremont Ave & Hirsch St,3548,3415,133,6963
CHI00702,Central Park Ave & Bloomingdale Ave,3391,3528,-137,6919
CHI00426,Halsted St & Archer Ave,3611,3304,307,6915
CHI00584,Harper Ave & 59th St,3540,3350,190,6890
410,Campbell Ave & Augusta Blvd,3700,3147,553,6847
KA1503000070,Harper Ave & 59th St,3800,3045,755,6845
CHI02138,Sheffield Ave & Fletcher St,3439,3347,92,6786
PI00003,Leavitt St/North Ave,3349,3435,-86,6784
KA1504000080,Washtenaw Ave & Lawrence Ave,3257,3446,-189,6703
CHI00343,State St & 35th St,3331,3369,-38,6700
CHI02066,Sheffield/Newport Corral,3369,3326,43,6695
CHI00548,Lincoln Ave & Winona St,3277,3404,-127,6681
CHI02165,Noble St & Potomac Ave,3269,3393,-124,6662
15628,California Ave & Byron St,3159,3494,-335,6653
CHI02120,Leavitt St & Augusta Blvd,3423,3191,232,6614
RP-008,Clark St & Columbia Ave,3358,3254,104,6612
CHI02157,Southport Ave & Grace St,3335,3256,79,6591
CHI00638,Francisco Ave & Foster Ave,3288,3302,-14,6590
CHI01768,Albany Ave & Montrose Ave,3222,3365,-143,6587
KA1504000143,Leavitt St & Addison St,3240,3314,-74,6554
13162,Halsted St & 21st St,3195,3356,-161,6551
18001,Clark St & Newport St,3020,3531,-511,6551
13345,Calumet Ave & 35th St,3176,3345,-169,6521
CHI02207,Sheffield Ave & School St,3295,3215,80,6510
CHI00404,Claremont Ave & Hirsch St,3244,3248,-4,6492
CHI00323,Halsted St & 21st St,3285,3175,110,6460
CHI00317,Damen Ave & Madison St,3436,3014,422,6450
605,University Library (NU),3149,3297,-148,6446
20251.0,N Carpenter St & W Lake St,3565,2876,689,6441
655,Hoyne Ave & Balmoral Ave,3179,3259,-80,6438
CHI00570,Troy St & Elston Ave,3059,3361,-302,6420
CHI00371,Sheridan Rd & Greenleaf Ave,3237,3174,63,6411
CHI02033,Wentworth Ave & 35th St,3433,2976,457,6409
13127,Halsted St & Roscoe St,3190,3215,-25,6405
KA1504000158,Oakley Ave & Irving Park Rd,3130,3262,-132,6392
15643,Kosciuszko Park,3068,3284,-216,6352
TA1308000043,Halsted St & 35th St,3114,3238,-124,6352
15668,Western Ave & Congress Pkwy,3208,3141,67,6349
CHI01214,Paulina St & Howard St,3189,3142,47,6331
E002,Chicago Ave & Washington St,3162,3159,3,6321
CHI00623,Kosciuszko Park,3129,3152,-23,6281
CHI00768,Western Ave & Fillmore St,3044,3227,-183,6271
CHI02080,Francisco Ave & Chicago Ave,3084,3187,-103,6271
CHI02032,Lake Park Ave & 35th St,3213,3057,156,6270
CHI00754,Clark St & Columbia Ave,3130,3116,14,6246
CHI01208,University Library (NU),3081,3157,-76,6238
15631,Troy St & Elston Ave,2910,3291,-381,6201
CHI00634,Campbell Ave & Fullerton Ave,3046,3104,-58,6150
202480.0,Hampden Ct & Diversey Ave,3050,3097,-47,6147
TA1308000002,Greenwood Ave & 47th St,3196,2950,246,6146
KA1504000126,Kedzie Ave & Leland Ave,2994,3116,-122,6110
KA1504000139,Monticello Ave & Irving Park Rd,2977,3129,-152,6106
CHI00808,Carpenter St & Lake St Public Rack,3037,3066,-29,6103
15640,Avers Ave & Belmont Ave,2959,3140,-181,6099
CHI02179,Sacramento Ave & Linden Pl,3041,3056,-15,6097
CHI00369,Oakley Ave & Irving Park Rd,3049,3037,12,6086
TA1307000153,Emerald Ave & 28th St,3138,2919,219,6057
CHI00641,Troy St & North Ave,3071,2971,100,6042
CHI02164,Oakley Ave & Lyndale St,2972,3060,-88,6032
CHI02128,Broadway & Cuyler Ave,3080,2899,181,5979
CHI00773,Hoyne Ave & Balmoral Ave,2976,3001,-25,5977
CHI02180,Spaulding Ave & Milwaukee Ave,3024,2950,74,5974
525,Glenwood Ave & Touhy Ave,3004,2908,96,5912
CHI02065,Eddy/Seminary Corral,3258,2634,624,5892
CHI00593,Monticello Ave & Irving Park Rd,2865,2968,-103,5833
CHI02134,Wood St & Cortland St,2892,2870,22,5762
CHI00630,Winchester (Ravenswood) Ave & Balmoral Ave,2774,2930,-156,5704
CHI02106,Seminary Ave & Belden Ave,2797,2892,-95,5689
CHI00644,Spaulding Ave & Division St,2812,2877,-65,5689
KA1503000005,Wentworth Ave & 35th St,2908,2778,130,5686
CHI02170,Kenwood Ave & 57th St,2886,2769,117,5655
TA1308000035,Lake Park Ave & 47th St,2712,2943,-231,5655
KA1504000159,Sheridan Rd & Greenleaf Ave,2829,2818,11,5647
13064,Wells St & Huron St,2974,2648,326,5622
CHI02071,Waveland/Racine Corral,2772,2846,-74,5618
CHI01237,Smith Park,2647,2959,-312,5606
CHI00519,Wentworth Ave & 33rd St,2843,2720,123,5563
643,Smith Park,2601,2937,-336,5538
CHI00366,Lake Park Ave & 47th St,2688,2844,-156,5532
15621,Albany Ave & Montrose Ave,2697,2830,-133,5527
CHI00718,Cherry Ave & Blackhawk St,2817,2710,107,5527
CHI00833,Paulina St & Lincoln Ave Public Rack,2675,2829,-154,5504
CHI00639,Kedzie Ave & Leland Ave,2705,2797,-92,5502
CHI00653,Western Ave & Congress Pkwy,2773,2721,52,5494
KA1504000160,Francisco Ave & Foster Ave,2724,2760,-36,5484
631,Malcolm X College,2721,2755,-34,5476
CHI00302,Christiana Ave & Lawrence Ave,2690,2782,-92,5472
CHI02117,Western Ave & Wabansia Ave,2813,2585,228,5398
CHI00409,Wentworth Ave & 24th St,2553,2844,-291,5397
515,Paulina St & Howard St,2680,2652,28,5332
CHI00855,N Green St & W Lake St,2613,2691,-78,5304
CHI00746,Malcolm X College,2792,2492,300,5284
CHI02173,Clark St & Madison St,2599,2619,-20,5218
CHI02365,North Ave Beach Pedestrian Bridge,2555,2560,-5,5115
KA1504000147,Winchester (Ravenswood) Ave & Balmoral Ave,2420,2665,-245,5085
18069,Cherry Ave & Blackhawk St,2535,2491,44,5026
KA1504000078,Lincoln Ave & Winona St,2464,2561,-97,5025
CHI00222,Fort Dearborn Dr & 31st St,2733,2288,445,5021
TA1308000026,Wentworth Ave & 24th St,2377,2644,-267,5021
SL-006,Wells St & 19th St,2509,2489,20,4998
TA1308000045,Wallace St & 35th St,2547,2446,101,4993
18017,Central Park Ave & Bloomingdale Ave,2394,2573,-179,4967
15654,Spaulding Ave & Division St,2464,2473,-9,4937
CHI00782,Wells St & 19th St,2538,2366,172,4904
15653,Troy St & North Ave,2426,2463,-37,4889
CHI00536,Drake Ave & Addison St,2419,2466,-47,4885
CHI02183,Rockwell St & Division St,2405,2420,-15,4825
CHI02082,Rockwell St & Fletcher St,2429,2377,52,4806
CHI00422,Greenwood Ave & 47th St,2428,2370,58,4798
CHI02154,Damen Ave & Evergreen Ave,2390,2386,4,4776
CHI02142,Franklin St & Madison St,2588,2184,404,4772
CHI01942,Milwaukee Ave & Ainslie St,2405,2337,68,4742
KA1504000142,Drake Ave & Addison St,2378,2361,17,4739
CHI02107,Leavitt St & Hirsch St,2404,2264,140,4668
CHI02367,DuSable Lake Shore Dr & Balbo Dr,2430,2232,198,4662
15615,Christiana Ave & Lawrence Ave,2194,2430,-236,4624
CHI02333,Lakewood Ave & Addison St,2327,2249,78,4576
CHI00633,Manor Ave & Leland Ave,2193,2336,-143,4529
KA1504000101,Ogden Ave & Roosevelt Rd,2330,2176,154,4506
CHI01143,Glenwood Ave & Touhy Ave,2308,2188,120,4496
CHI00373,Emerald Ave & 28th St,2271,2218,53,4489
CHI02085,Kedzie Ave & George St,2225,2234,-9,4459
CHI00436,Indiana Ave & 31st St,2178,2251,-73,4429
CHI00580,Ogden Ave & Roosevelt Rd,2354,2074,280,4428
CHI02136,Paulina St & Adams St,2220,2161,59,4381
KA1504000117,Halsted St & North Branch St,2551,1828,723,4379
CHI02061,Clark/Newport Corral,2179,2194,-15,4373
CHI02174,Halsted St & Court Pl,2202,2161,41,4363
CHI01222,Dempster CTA,2230,2127,103,4357
CHI02363,DuSable Lake Shore Dr & Jackson Blvd,2292,2063,229,4355
CHI00579,Sawyer Ave & Irving Park Rd,2118,2197,-79,4315
KA1503000065,Woodlawn Ave & Lake Park Ave,2222,2056,166,4278
CHI02084,Elston Ave & George St,2154,2124,30,4278
RP-005,Western Ave & Lunt Ave,2076,2201,-125,4277
CHI02060,Addison/Racine Corral,2121,2153,-32,4274
CHI00514,Shields Ave & 28th Pl,2065,2183,-118,4248
CHI00590,Western Ave & Granville Ave,2041,2187,-146,4228
CHI02083,Western Ave & Grace St,2104,2118,-14,4222
CHI00588,Streeter Dr/Grand Ave,2078,2136,-58,4214
KA1504000127,Manor Ave & Leland Ave,2059,2122,-63,4181
661,Evanston Civic Center,2120,2009,111,4129
CHI01097,Eastlake Ter & Howard St,2098,1964,134,4062
CHI00801,Western Ave & Lunt Ave,1866,2147,-281,4013
CHI01815,Wacker Dr & Washington St Corral,2266,1741,525,4007
CHI02346,Pine Grove Ave & Belmont Ave,1980,2026,-46,4006
20253.0,N Paulina St & Lincoln Ave,2093,1913,180,4006
CHI01212,Clark St & Jarvis Ave,2078,1921,157,3999
15667,Western Ave & Monroe St,1989,2010,-21,3999
20257.0,N Southport Ave & W Newport Ave,2125,1816,309,3941
435,Rockwell St & Fletcher St,2126,1806,320,3932
13091,Western Ave & 21st St,1895,2029,-134,3924
CHI02129,Western Ave & Lyndale St,1909,1916,-7,3825
CHI00632,North Branch St & Haines St,2154,1592,562,3746
CHI02086,Francisco Ave & Bloomingdale Ave,1986,1759,227,3745
CHI00227,Drake Ave & Montrose Ave,1873,1845,28,3718
CHI00346,Prairie Ave & Garfield Blvd,1778,1932,-154,3710
CHI02160,Marshfield Ave & Wabansia Ave,1875,1806,69,3681
CHI00387,Wallace St & 35th St,1865,1790,75,3655
CHI02156,Granville Ave & Clark St,1827,1826,1,3653
CHI02130,Rockwell Ave & Logan Blvd,1846,1790,56,3636
20247.0,W Washington Blvd & N Peoria St,2623,1012,1611,3635
523,Eastlake Ter & Howard St,1872,1752,120,3624
CHI00315,63rd St Beach,1832,1789,43,3621
13230,Racine Ave & Belmont Ave,1815,1793,22,3608
CHI02152,Marshfield Ave & Diversey Pkwy,1750,1836,-86,3586
CHI02097,Morgan St & Hubbard St,1867,1700,167,3567
CHI02068,Racine/Eddy Corral,1754,1806,-52,3560
KA1503000040,Loomis St & Archer Ave,1835,1717,118,3552
E006,Central St Metra,1738,1805,-67,3543
472,Elston Ave & George St,1833,1699,134,3532
517,Clark St & Jarvis Ave,1803,1729,74,3532
CHI02048,South Shore Dr & 71st St,1742,1787,-45,3529
TA1308000014,Normal Ave & Archer Ave,1757,1770,-13,3527
CHI00663,Keystone Ave & Fullerton Ave,1704,1778,-74,3482
15446,Racine Ave & 35th St,1692,1781,-89,3473
CHI02040,MLK Jr Dr & Pershing Rd,1734,1730,4,3464
CHI02172,Shore Dr & 53rd St,1800,1662,138,3462
CHI02126,Sacramento Ave & Lyndale St,1831,1610,221,3441
CHI02147,Western Ave & Berteau Ave,1713,1726,-13,3439
13420,MLK Jr Dr & Pershing Rd,1710,1728,-18,3438
CHI02041,Central St Metra,1681,1743,-62,3424
CHI00659,St. Louis Ave & Balmoral Ave,1683,1721,-38,3404
KA1504000097,Drake Ave & Montrose Ave,1655,1745,-90,3400
KA1503000069,Dorchester Ave & 49th St,1775,1624,151,3399
CHI01543,Franklin St & Adams St Corral,1710,1683,27,3393
CHI00228,Racine Ave & 13th St,1714,1678,36,3392
KA1504000096,Sawyer Ave & Irving Park Rd,1602,1789,-187,3391
CHI00308,Western Ave & 21st St,1682,1615,67,3297
13165,Racine Ave & 13th St,1658,1576,82,3234
CHI02298,Public Rack - Wells St & Scott St,1582,1644,-62,3226
CHI00652,Western Ave & Monroe St,1572,1651,-79,3223
15542,Clinton St & Polk St,1532,1678,-146,3210
CHI01756,LaSalle St & Calhoun Pl Corral,1957,1247,710,3204
CHI02069,Addison/Sheffield SW Corral,1956,1244,712,3200
CHI01955,California Ave & Granville Ave,1557,1630,-73,3187
KA1503000029,South Shore Dr & 67th St,1563,1622,-59,3185
CHI00400,Cottage Grove Ave & Oakwood Blvd,1468,1709,-241,3177
CHI02332,Winthrop Ave & Bryn Mawr Ave,1552,1622,-70,3174
TA1307000160,Prairie Ave & Garfield Blvd,1591,1567,24,3158
CHI02059,Clark/Racine Corral,1933,1225,708,3158
16010,Keystone Ave & Fullerton Ave,1577,1567,10,3144
15491,63rd St Beach,1562,1581,-19,3143
18016,Bernard St & Elston Ave,1599,1528,71,3127
CHI01881,McCormick Blvd & Devon Ave,1551,1575,-24,3126
CHI02294,Public Rack - Rush St & Oak St,1540,1573,-33,3113
CHI00637,Central Park Ave & North Ave,1543,1563,-20,3106
411,Francisco Ave & Chicago Ave,1724,1378,346,3102
CHI02148,Western Ave & Gunnison St,1546,1542,4,3088
CHI00602,Warren Park West,1423,1643,-220,3066
CHI02331,Franklin St & Randolph St,1603,1452,151,3055
20252.0,W Oakdale Ave & N Broadway,1610,1420,190,3030
CHI00458,Clinton St & Polk St,1518,1507,11,3025
CHI00355,Calumet Ave & 35th St,1557,1462,95,3019
CHI00527,Dorchester Ave & 49th St,1566,1450,116,3016
KA1504000164,Keystone Ave & Montrose Ave,1465,1528,-63,2993
23101,McCormick Blvd & Devon Ave,1507,1482,25,2989
RP-001,Warren Park West,1402,1569,-167,2971
CHI02369,Navy Pier Public Rack - East,1459,1506,-47,2965
KA1503000002,South Shore Dr & 71st St,1449,1505,-56,2954
CHI01777,Monticello Ave & Lawrence Ave,1503,1409,94,2912
CHI00334,Woodlawn Ave & Lake Park Ave,1469,1442,27,2911
CHI00669,Western Ave & Howard St,1433,1475,-42,2908
527,Western Ave & Howard St,1497,1411,86,2908
CHI02067,Sheffield/Cornelia Corral,1433,1472,-39,2905
13324,Pine Grove Ave & Irving Park Rd,1463,1434,29,2897
CHI00739,Elmwood Ave & Austin St,1429,1460,-31,2889
CHI02192,Kimball Ave & Wrightwood Ave,1527,1362,165,2889
431,Western Ave & Grace St,1515,1370,145,2885
KA1503000046,Dorchester Ave & 63rd St,1385,1494,-109,2879
CHI00882,Damen Ave & Chicago Ave Public Rack,1418,1455,-37,2873
KA1504000129,Western Ave & Granville Ave,1384,1482,-98,2866
CHI00698,Bernard St & Elston Ave,1428,1420,8,2848
15442,Ashland Ave & Archer Ave,1449,1389,60,2838
CHI00651,Kedzie Ave & Foster Ave,1416,1417,-1,2833
KA1503000054,Cottage Grove Ave & 63rd St,1387,1425,-38,2812
592,Knox Ave & Montrose Ave,1447,1362,85,2809
(ARCHIVE)CHI02079,Daley Center Plaza,1416,1386,30,2802
CHI02042,Central St & Girard Ave,1409,1388,21,2797
CHI02383,North Ave Beach Overflow Corral,1549,1239,310,2788
CHI02178,Sawyer Ave & Fullerton Ave,1418,1354,64,2772
438,Western Ave & Berteau Ave,1412,1349,63,2761
CHI00643,Keystone Ave & Montrose Ave,1381,1346,35,2727
CHI00587,Cottage Grove Ave & 63rd St,1346,1380,-34,2726
CHI00806,Washington Blvd & Peoria St Public Rack,1606,1102,504,2708
CHI00319,Leavitt St & Archer Ave,1381,1326,55,2707
CHI00292,Loomis St & Archer Ave,1378,1324,54,2702
23108,Monticello Ave & Lawrence Ave,1401,1268,133,2669
CHI02007,Hampden Ct & Diversey Ave,1264,1367,-103,2631
CHI02079,Daley Center Plaza,1341,1284,57,2625
CHI02370,Navy Pier Public Rack - West,1290,1332,-42,2622
E007,Central St & Girard Ave,1312,1288,24,2600
TA1309000053,Cottage Grove Ave & 47th St,1265,1320,-55,2585
KA1503000068,Leavitt St & Archer Ave,1407,1163,244,2570
CHI02241,Public Rack - Racine Ave & Nelson St,1265,1303,-38,2568
KA1504000128,Kedzie Ave & Foster Ave,1286,1266,20,2552
KA1504000161,St. Louis Ave & Balmoral Ave,1254,1292,-38,2546
CHI02077,Clark St & Lake St,1300,1246,54,2546
CHI00397,California Ave & 21st St,1205,1336,-131,2541
CHI01825,Karlov Ave & Armitage Ave,1183,1351,-168,2534
20255.0,N Damen Ave & W Chicago Ave,1508,1022,486,2530
CHI00793,Ridge Blvd & Touhy Ave,1281,1199,82,2480
CHI00392,Normal Ave & Archer Ave,1230,1238,-8,2468
CHI00961,LaSalle St & Jackson Blvd Corral,1509,950,559,2459
CHI00733,Knox Ave & Montrose Ave,1271,1175,96,2446
CHI00751,Clark St & Touhy Ave,1225,1220,5,2445
436,Kedzie Ave & George St,1334,1108,226,2442
23104,California Ave & Granville Ave,1194,1241,-47,2435
TA1309000067,Cottage Grove Ave & 51st St,1218,1215,3,2433
CHI02360,Obama Presidential Center,1216,1203,13,2419
TA1308000038,Cottage Grove Ave & Oakwood Blvd,1096,1294,-198,2390
RP-006,Ridge Blvd & Touhy Ave,1205,1177,28,2382
CHI00502,Cottage Grove Ave & 51st St,1199,1166,33,2365
CHI00456,Racine Ave & 35th St,1170,1187,-17,2357
CHI00646,Kedzie Ave & Bryn Mawr Ave,1182,1173,9,2355
CHI00247,South Shore Dr & 67th St,1212,1134,78,2346
CHI02364,Lincoln Park Zoo,1191,1155,36,2346
CHI02062,Grace/Sheffield Corral,1157,1187,-30,2344
RP-007,Clark St & Touhy Ave,1173,1165,8,2338
CHI00611,2112 W Peterson Ave,1168,1158,10,2326
CHI02291,Public Rack - Dearborn St & Kinzie St 1,1135,1189,-54,2324
430,Troy St & Grace St,1226,1096,130,2322
429,Francisco Ave & Bloomingdale Ave,1400,901,499,2301
CHI00325,Western Ave & 24th St,1134,1158,-24,2292
599,Valli Produce - Evanston Plaza,1126,1161,-35,2287
600,Dodge Ave & Church St,1168,1102,66,2270
444,N Shore Channel Trail & Argyle St,1185,1075,110,2260
CHI02149,Lincoln Ave & Balmoral Ave,1104,1149,-45,2253
RP-002,Warren Park East,1107,1145,-38,2252
CHI00741,Dodge Ave & Church St,1147,1078,69,2225
446,Francisco Ave & Montrose Ave,1146,1072,74,2218
20260.0,Ping Tom Park (East),1410,805,605,2215
CHI02320,Public Rack - Kingsbury Ave & Blackhawk St,1082,1130,-48,2212
CHI02031,Stony Island Ave & 63rd St,1086,1116,-30,2202
CHI00664,Bosworth Ave & Howard St,1130,1071,59,2201
CHI02078,Franklin St & Monroe St,972,1217,-245,2189
13213,State St & 29th St,1019,1160,-141,2179
CHI00620,Warren Park East,1099,1079,20,2178
CHI00350,Budlong Woods Library,1042,1136,-94,2178
24370,Milwaukee Ave & Ainslie St,1098,1071,27,2169
CHI01540,Wells St & Randolph St Corral,1234,929,305,2163
CHI00566,Dorchester Ave & 63rd St,1042,1117,-75,2159
CHI02355,Lake/Green Corral,1039,1120,-81,2159
598,Elmwood Ave & Austin St,1068,1085,-17,2153
CHI02189,Milwaukee Ave & Wolfram St,1134,992,142,2126
CHI00415,Halsted St & 37th St,1066,1059,7,2125
514,Ridge Blvd & Howard St,1094,1030,64,2124
23190,Karlov Ave & Armitage Ave,1020,1101,-81,2121
CHI00538,Pulaski Rd & Eddy St,1053,1059,-6,2112
CHI01041,Ridge Blvd & Howard St,1106,1000,106,2106
CHI02296,Public Rack - Wells St & North Ave,1030,1067,-37,2097
16806,Bosworth Ave & Howard St,1047,1047,0,2094
15652,Central Park Ave & North Ave,1026,1067,-41,2093
PI00001,Damen Ave/Coulter St,1027,1065,-38,2092
CHI02191,Drake Ave & Armitage Ave,1055,1035,20,2090
KA1504000167,Kedzie Ave & Bryn Mawr Ave,1017,1069,-52,2086
CHI00649,Leavitt St/North Ave,1041,1041,0,2082
CHI00650,California Ave & Lake St,1121,957,164,2078
21462,Lincoln Ave & Peterson Ave,1054,1018,36,2072
15666,California Ave & Lake St,1135,933,202,2068
432,Sacramento Blvd & Addison St,1056,1011,45,2067
CHI02091,Lock St & 31st St,1091,969,122,2060
CHI01767,Kedzie Ave & 48th Pl,1066,973,93,2039
TA1308000023,Cottage Grove Ave & 43rd St,974,1063,-89,2037
CHI00545,Prairie Ave & 43rd St,966,1069,-103,2035
CHI02092,Parnell Ave & 31st St,1017,1013,4,2030
CHI01539,St Louis Ave & Foster Ave,1026,998,28,2024
590,Kilbourn Ave & Irving Park Rd,1010,985,25,1995
CHI02245,Francisco Ave & Montrose Ave,963,1030,-67,1993
CHI00657,Kedzie Ave & Chicago Ave,1011,980,31,1991
CHI02359,Ravenswood Ave & Grace St,985,1005,-20,1990
KA1504000130,Maplewood Ave & Peterson Ave,936,1052,-116,1988
CHI00977,Valli Produce - Evanston Plaza,995,981,14,1976
CHI00326,Wood St & 35th St,960,1010,-50,1970
CHI02099,Wood St & Walnut St,1061,909,152,1970
(ARCHIVE)CHI02078,Franklin St & Monroe St,878,1089,-211,1967
CHI02063,Addison/Wilton Corral,1048,913,135,1961
TA1309000003,Western Ave & 24th St,990,965,25,1955
CHI01994,University Ave & 65th St,953,1001,-48,1954
CHI01061,Public Rack - Washtenaw Ave & Superior St,965,984,-19,1949
CHI02044,Robert Crown Community Center,976,965,11,1941
KA1706005015,Kildare Ave & Montrose Ave,989,923,66,1912
CHI00445,Cottage Grove Ave & 43rd St,978,928,50,1906
CHI00951,Francisco Ave & Montrose Ave,940,955,-15,1895
23321,Kostner Ave & Wrightwood Ave,909,982,-73,1891
CHI01868,Lincoln Ave & Peterson Ave,931,953,-22,1884
855,Public Rack - Washtenaw Ave & Superior St,960,921,39,1881
CHI02090,Wallace St & 28th St,964,903,61,1867
445,Western Ave & Gunnison St,1027,838,189,1865
CHI02058,Addison/Sheffield SE Corral,1077,763,314,1840
CHI02317,Public Rack - Clybourn Ave & Webster Ave,880,955,-75,1835
15470,Calumet Ave & 51st St,877,943,-66,1820
16991,Milwaukee Ave & Cuyler Ave,881,937,-56,1818
RP-004,Oakley Ave & Touhy Ave,918,900,18,1818
CHI00586,DuSable Museum,922,896,26,1818
CHI02348,Kenmore Ave & Catalpa Ave,891,923,-32,1814
CHI00399,MLK Jr Dr & 47th St,915,891,24,1806
CHI00694,Kilbourn Ave & Milwaukee Ave,945,861,84,1806
CHI02329,Winthrop Ave & Sheridan Rd,883,920,-37,1803
KA1504000155,2112 W Peterson Ave,889,913,-24,1802
CHI00488,Cottage Grove Ave & 49th St,862,916,-54,1778
TA1308000007,MLK Jr Dr & 47th St,842,933,-91,1775
CHI00624,Damen Ave & Coulter St,889,880,9,1769
KA1503000066,Wood St & 35th St,862,891,-29,1753
CHI01081,Kilbourn Ave & Irving Park Rd,873,871,2,1744
CHI02347,Glenwood Ave & Devon Ave,885,858,27,1743
CHI01876,Pulaski Rd & 51st St,900,842,58,1742
KA1503000027,Prairie Ave & 43rd St,822,918,-96,1740
475,Whipple/Irving Park,914,821,93,1735
CHI02285,Public Rack - Michigan Ave & Delaware Pl,856,878,-22,1734
CHI00958,Damen Ave & Wabansia Ave,861,867,-6,1728
CHI00363,Ashland Ave & Archer Ave,843,872,-29,1715
KA1504000114,Kedzie Ave & Chicago Ave,725,986,-261,1711
433,Elston Ave & Henderson St,906,802,104,1708
CHI00692,Milwaukee Ave & Cuyler Ave,802,898,-96,1700
CHI00813,Lockwood Ave & Wrightwood Ave,830,867,-37,1697
13096,California Ave & 21st St,812,873,-61,1685
(ARCHIVE)CHI02077,Clark St & Lake St,873,812,61,1685
CHI01816,Kostner Ave & Wrightwood Ave,806,873,-67,1679
KA1504000106,Kedzie Ave & Lake St,872,802,70,1674
CHI01820,North Boundary Park,797,855,-58,1652
CHI02190,Monticello Ave & Diversey Ave,863,781,82,1644
CHI00655,Central Park Ave & Ogden Ave,878,757,121,1635
CHI00603,Oakley Ave & Touhy Ave,800,824,-24,1624
CHI00656,Kedzie Ave & 21st St,799,823,-24,1622
CHI02270,Public Rack - Michigan Ave & Wacker Dr (South),791,830,-39,1621
T13243,Wabansia & Milwaukee,820,794,26,1614
CHI02177,Milwaukee Ave & Diversey Ave,863,745,118,1608
CHI01266,Wolcott Ave & Fargo Ave,826,773,53,1599
CHI01945,Kenneth Ave & Lawrence Ave,820,779,41,1599
CHI02264,Public Rack - Clark St & Diversey Pkwy (North 2),778,819,-41,1597
CHI00592,Maplewood Ave & Peterson Ave,784,811,-27,1595
21382,Kedzie Ave & 48th Pl,938,654,284,1592
CHI00609,Kildare Ave & Montrose Ave,846,738,108,1584
CHI01788,Rockwell St & Archer Ave,784,795,-11,1579
KA1503000075,DuSable Museum,817,760,57,1577
CHI02312,Public Rack - Webster Ave & Halsted St,750,819,-69,1569
CHI00429,Calumet Ave & 51st St,803,764,39,1567
CHI00888,Campbell Ave & Augusta Blvd,777,781,-4,1558
21343,Pulaski Rd & 51st St,879,676,203,1555
15686,Kedzie Ave & 21st St,779,765,14,1544
CHI00923,Elston Ave & Henderson St,762,776,-14,1538
E011,Dodge Ave & Main St,752,782,-30,1534
443,California Ave & Winona St,787,730,57,1517
CHI00528,Kedzie Ave & Lake St,801,713,88,1514
CHI02377,Oak St Beach Public Rack - North,739,766,-27,1505
24458,Peterson/Ridge Metra,758,745,13,1503
CHI01170,Conservatory Dr & Lake St,791,708,83,1499
CHI00546,Jeffery Blvd & 67th St,826,669,157,1495
CHI00798,Orrington Ave & Clark St,729,761,-32,1490
CHI00629,Washtenaw Ave & Ogden Ave,799,684,115,1483
518,Conservatory Dr & Lake St,749,730,19,1479
434,Albany Ave & Belmont Ave,804,670,134,1474
CHI02378,Oak St Beach Public Rack - South,706,767,-61,1473
CHI01856,Kilbourn Ave & Belden Ave,695,777,-82,1472
CHI01901,Midway Orange Line,805,660,145,1465
TA1307000161,Halsted St & 37th St,680,779,-99,1459
442,Lincoln Ave & Balmoral Ave,753,700,53,1453
CHI00964,Dearborn St & Adams St Corral,1017,430,587,1447
15685,Central Park Ave & Ogden Ave,775,666,109,1441
CHI00231,State St & 29th St,712,726,-14,1438
951,Public Rack - Woodlawn Ave & 63rd St N,721,710,11,1431
15585,Budlong Woods Library,678,749,-71,1427
E014,Lincolnwood Dr & Central St,668,755,-87,1423
KA1504000113,Sacramento Blvd & Franklin Blvd,679,742,-63,1421
CHI02244,N Shore Channel Trail & Argyle St,684,728,-44,1412
20249.0,N Clark St & W Elm St,708,703,5,1411
KA1504000141,Pulaski Rd & Eddy St,730,675,55,1405
CHI00963,LaSalle St & Adams St Corral,868,536,332,1404
662,Dodge Ave & Mulford St,681,710,-29,1391
CHI01800,Karlov Ave & Lawrence Ave,715,672,43,1387
CHI02321,Public Rack - Kingsbury Ave & Eastman St,676,691,-15,1367
18022,Archer (Damen) Ave & 37th St,675,687,-12,1362
CHI00572,Hoyne Ave & 47th St,689,673,16,1362
CHI02255,Albany Ave & Belmont Ave,687,671,16,1358
425,Rockwell St & Cermak Rd,757,593,164,1350
CHI00943,N Whipple St & Irving Park Rd,671,679,-8,1350
CHI01665,Hastings St Depot Public Rack,673,668,5,1341
CHI00735,Western Blvd & 48th Pl,670,670,0,1340
KA1504000109,Washtenaw Ave & Ogden Ave,690,646,44,1336
16994,Kilbourn Ave & Milwaukee Ave,660,675,-15,1335
CHI00920,Troy St & Grace St,684,648,36,1332
CHI00221,South Shore Dr & 74th St,652,668,-16,1320
CHI02384,Theater on the Lake Overflow Corral,674,639,35,1313
CHI01150,Public Rack - Hyde Park Blvd & 55th St,642,658,-16,1300
23191,Springfield Ave & North Ave,658,639,19,1297
CHI01826,Springfield Ave & North Ave,637,658,-21,1295
CHI01780,Fairfield Ave & Pratt Blvd,619,658,-39,1277
499,Public Rack - Christiana Ave & Belmont Ave,671,598,73,1269
