station_id,station_name,rides_started,rides_ended,net_outflow,total_activity
TA1309000066,Ravenswood Ave & Lawrence Ave,23678,23688,-10,47366
CHI01746,Clinton St & Lake St,23892,23403,489,47295
623,Michigan Ave & 8th St,24387,22707,1680,47094
TA1309000058,Lincoln Ave & Fullerton Ave,23193,23505,-312,46698
CHI00336,Southport Ave & Waveland Ave,23171,23365,-194,46536
CHI01163,Michigan Ave & 8th St,24395,22084,2311,46479
CHI00295,Wells St & Ohio St,23183,23110,73,46293
TA1307000130,Morgan St & Polk St,23268,22967,301,46235
CHI00494,Lincoln Ave & Fullerton Ave,22930,23222,-292,46152
13016,St. Clair St & Erie St,22191,23863,-1672,46054
CHI00287,Clark St & Wrightwood Ave,22793,22954,-161,45747
TA1307000126,Sheffield Ave & Waveland Ave,20811,24756,-3945,45567
CHI01775,Federal St & Polk St,22863,22584,279,45447
CHI00480,DuSable Lake Shore Dr & Belmont Ave,22538,22905,-367,45443
TA1305000041,Damen Ave & Pierce Ave,22277,22989,-712,45266
CHI00454,Larrabee St & Webster Ave,22137,22444,-307,44581
CHI00761,Clark St & Lake St,22446,22091,355,44537
13332,Loomis St & Lexington St,22321,21875,446,44196
SL-008,Federal St & Polk St,22131,22060,71,44191
TA1307000150,Pine Grove Ave & Waveland Ave,21705,22333,-628,44038
CHI00225,Sheffield Ave & Fullerton Ave,22325,21665,660,43990
CHI00244,Paulina St & Division St,21635,22193,-558,43828
TA1307000142,Clark St & Drummond Pl,21301,22527,-1226,43828
TA1309000004,LaSalle St & Jackson Blvd,21671,22126,-455,43797
CHI00255,DuSable Lake Shore Dr & Wellington Ave,21760,21967,-207,43727
TA1309000049,DuSable Lake Shore Dr & Belmont Ave,21651,22053,-402,43704
TA1305000025,Franklin St & Jackson Blvd,22121,21432,689,43553
TA1308000012,Montrose Harbor,21773,21690,83,43463
13235,Southport Ave & Waveland Ave,21537,21828,-291,43365
TA1305000003,Fairbanks Ct & Grand Ave,21619,21736,-117,43355
13193,Larrabee St & Webster Ave,21443,21909,-466,43352
CHI02050,Franklin St & Jackson Blvd,21277,21690,-413,42967
TA1309000024,Clark St & Schiller St,21762,21154,608,42916
CHI00393,Wells St & Evergreen Ave,21742,21173,569,42915
CHI00462,Clark St & Schiller St,21754,21081,673,42835
CHI00583,Ellis Ave & 55th St,21408,21208,200,42616
TA1308000049,Wells St & Evergreen Ave,21550,20926,624,42476
TA1309000019,Lakeview Ave & Fullerton Pkwy,21131,21308,-177,42439
TA1307000111,Franklin St & Lake St,20805,21378,-573,42183
CHI00605,Fairbanks Ct & Grand Ave,21178,20673,505,41851
13158,Peoria St & Jackson Blvd,21440,20358,1082,41798
CHI00234,Southport Ave & Roscoe St,20666,20889,-223,41555
CHI00469,Lakeview Ave & Fullerton Pkwy,20577,20841,-264,41418
KA1503000041,McClurg Ct & Erie St,20988,20426,562,41414
CHI01880,Fulton Market,20408,20864,-456,41272
CHI00418,Mies van der Rohe Way & Chestnut St,20301,20262,39,40563
CHI00449,Franklin St & Monroe St,18418,21916,-3498,40334
CHI00385,Clark St & Drummond Pl,19683,20622,-939,40305
CHI00473,Halsted St & Roscoe St,20041,20149,-108,40190
13071,Southport Ave & Roscoe St,19870,20275,-405,40145
TA1307000121,Halsted St & Polk St,20358,19729,629,40087
KA1504000133,Rush St & Cedar St,19947,20101,-154,40048
CHI00482,Pine Grove Ave & Irving Park Rd,20038,19926,112,39964
TA1307000041,DuSable Lake Shore Dr & Wellington Ave,19732,20186,-454,39918
CHI00360,Adler Planetarium,20606,19276,1330,39882
TA1309000037,Kimbark Ave & 53rd St,20022,19712,310,39734
CHI00674,Clark St & Newport St,19017,20710,-1693,39727
CHI02181,Kingsbury St & Kinzie St 2,19927,19761,166,39688
632,Clark St & Newport St,19084,20486,-1402,39570
TA1305000029,State St & Randolph St,19778,19690,88,39468
CHI00495,Clark St & Winnemac Ave,19420,19634,-214,39054
13431,Adler Planetarium,20720,18321,2399,39041
CHI00465,Sheffield Ave & Wrightwood Ave,19513,19377,136,38890
CHI00304,Sheridan Rd & Irving Park Rd,19683,19164,519,38847
13157,Aberdeen St & Jackson Blvd,20305,18524,1781,38829
TA1309000061,Halsted St & Wrightwood Ave,19418,19327,91,38745
CHI00504,Halsted St & Wrightwood Ave,19175,19201,-26,38376
CHI00288,State St & Kinzie St,19232,19098,134,38330
