member_casual,rides,avg_duration_min,median_duration_min,p95_duration_min,weekend_ride_pct,round_trip_pct,ride_share_pct
member,9269033,12.262254394821984,8.77,31.31,23.58515715717055,1.615519116179649,64.2811213073162
casual,5150493,20.280064188030156,11.98,60.43,37.37327669409511,5.77824297596366,35.718878692683795
